english;french;italian;japanese;portuguese;russian;spanish;Anger;Anticipation;Disgust;Fear;Joy;Sadness;Surprise;Trust
chase;chasse;inseguire;追跡;correr atrás;гнаться;persecución;0;0;0;0;0;0;0;0
chasm;gouffre;abisso;狭窄;abismo;бездна;abismo;0;0;0;1;0;0;0;0
chastisement;châtiment;castigo;懲罰;castigo;наказание;castigo;0;0;0;0;0;0;0;0
chastity;chasteté;castità;貞操;castidade;целомудрие;castidad;0;1;0;0;0;0;0;1
chat;bavarder;Chiacchierare;チャット;bate-papo;чат;charla;0;0;0;0;0;0;0;0
chateau;château;chateau;シャトー;castelo;замок;castillo;0;0;0;0;0;0;0;0
chatter;bavarder;vibrazione;チャッター;tagarelar;болтовня;charla;0;0;0;0;0;0;0;0
chattering;bavarder;chattering;チャタリング;tagarelando;болтовня;parloteo;0;0;0;0;0;0;0;0
chatty;bavard;ciarliero;おしゃべり;conversando;болтливый;hablador;0;0;0;0;0;0;0;0
chauffeur;chauffeur;autista;運転手;motorista;шофер;chofer;0;0;0;0;0;0;0;0
cheap;pas cher;a buon mercato;安いです;barato;дешево;barato;0;0;0;0;0;0;0;0
cheat;Tricher;truffare;カンニング;enganação;мошенничать;engañar;1;0;1;0;0;0;0;0
check;vérifier;dai un'occhiata;チェック;Verifica;проверить;comprobar;0;0;0;0;0;0;0;0
checker;vérificateur;checker;チェッカー;verificador;шашка;inspector;0;0;0;0;0;0;0;0
checkered;à carreaux;scacchi;市松;quadriculado;клетчатый;a cuadros;0;0;0;0;0;0;0;0
checkers;vérificateurs;dama;チェッカーズ;jogo de damas;шашки;juego de damas;0;0;0;0;0;0;0;0
checklist;liste de contrôle;lista di controllo;チェックリスト;lista de controle;контрольный список;lista de control;0;0;0;0;0;0;0;1
cheek;joue;guancia;頬;bochecha;щека;mejilla;0;0;0;0;0;0;0;0
cheeks;des joues;guance;頬;bochechas;щеки;las mejillas;0;0;0;0;0;0;0;0
cheep;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;0;0;0;0;0;0;0;0
cheer;acclamation;rallegrare;応援;torcer;ура;animar;0;1;0;0;1;0;1;1
cheerful;de bonne humeur;allegro;陽気な;alegre;веселая;alegre;0;0;0;0;1;0;1;0
cheerfulness;gaieté;allegria;陽気;alegria;бодрость;alegría;0;1;0;0;1;0;0;1
cheering;applaudissement;applauso;応援;torcendo;ободряющий;aplausos;0;0;0;0;1;0;0;0
cheery;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;0;1;0;0;1;0;0;0
cheesecake;cheesecake;torta di formaggio;チーズケーキ;bolo de queijo;чизкейк;tarta de queso;0;0;0;0;0;0;0;0
cheetah;guépard;ghepardo;チーター;guepardo;гепард;leopardo cazador;0;0;0;0;0;0;0;0
chemise;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;0;0;0;0;0;0;0;0
chemist;chimiste;chimico;化学者;químico;химик;químico;0;0;0;0;0;0;0;1
chemistry;chimie;chimica;化学;química;химия;química;0;0;0;0;0;0;0;0
cheque;vérifier;dai un'occhiata;チェック;Verifica;проверить;comprobar;0;0;0;0;0;0;0;0
cherish;chérir;accarezzare;大事な;apreciar;лелеять;apreciar;0;1;0;0;1;0;1;1
cherry;Cerise;ciliegia;チェリー;cereja;вишня;Cereza;0;0;0;0;0;0;0;0
chess;échecs;scacchi;チェス;xadrez;шахматы;ajedrez;0;0;0;0;0;0;0;0
chest;poitrine;il petto;胸;peito;грудь;pecho;0;0;0;0;0;0;0;0
chestnut;châtaigne;Castagna;栗;castanha;каштан;castaña;0;0;0;0;0;0;0;0
chevron;chevron;gallone;シェブロン;chevron;шеврон;cheurón;0;0;0;0;0;0;0;0
chew;mâcher;masticare;噛む;mastigar;жевать;masticar;0;0;0;0;0;0;0;0
chic;élégant;elegante;シック;chique;шик;elegante;0;0;0;0;0;0;0;0
chicane;chicane;chicane;シケイン;chicana;придираться;crítica;0;1;0;0;0;0;1;1
chicken;poulet;pollo;チキン;frango;курица;pollo;0;0;0;1;0;0;0;0
chief;chef;capo;チーフ;chefe;главный;jefe;0;0;0;0;0;0;0;0
chiefly;principalement;principalmente;主に;principalmente;главным образом;principalmente;0;0;0;0;0;0;0;0
chieftain;chef de clan;capo;チーフテン;chefe;атаман;jefe;0;0;0;0;0;0;0;0
child;enfant;bambino;子;criança;ребенок;niño;0;1;0;0;1;0;0;0
childbirth;accouchement;parto;出産;parto;роды;parto;0;0;0;0;0;0;0;0
childhood;enfance;infanzia;子供時代;infância;детство;infancia;0;0;0;0;1;0;0;0
childish;puéril;infantile;子供っぽい;infantil;детский;infantil;0;0;0;0;0;0;0;0
chill;refroidissement;freddo;冷やす;calafrio;простуда;frío;0;0;0;0;0;0;0;0
chilly;froid;freddo;肌寒い;frio;зябко;frío;0;0;0;0;0;0;0;0
chime;carillon;carillon;チャイム;chime;перезвон;repicar;0;0;0;0;0;0;0;0
chimera;chimère;chimera;キメラ;quimera;химера;quimera;0;0;0;1;0;0;1;0
chimes;carillons;carillon;チャイム;carrilhões;колокольчики;carillones;0;0;0;0;0;0;0;0
chimney;cheminée;camino;煙突;chaminé;дымовая труба;tubo de lámpara;0;0;0;0;0;0;0;0
china;Chine;Cina;中国;China;Китай;China;0;0;0;0;0;0;0;0
chine;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;0;0;0;0;0;0;0;0
chinook;quinnat;chinook;チヌック;Chinês;чавыча;chinook;0;0;0;0;0;0;0;0
chip;puce;patata fritta;チップ;lasca;чип;chip;0;0;0;0;0;0;0;0
chipping;écaillage;chipping;チッピング;chicoteando;скалывание;astillado;0;0;0;0;0;0;0;0
chirp;gazouiller;cinguettio;チャープ;chilro;чириканье;chirrido;0;0;0;0;1;0;0;0
chisel;ciseau;scalpello;チゼル;formão;долото;cincel;0;0;0;0;0;0;0;0
chit;chit;chit;伝票;chit;крошка;vale;0;0;0;0;0;0;0;0
chivalry;chevalerie;cavalleria;騎士道;cavalheirismo;рыцарство;caballería;0;0;0;0;0;0;0;0
chloroform;chloroforme;cloroformio;クロロホルム;clorofórmio;хлороформ;cloroformo;0;0;0;0;0;0;0;0
chocolate;Chocolat;cioccolato;チョコレート;chocolate;шоколад;chocolate;0;1;0;0;1;0;0;1
choice;choix;scelta;選択;escolha;выбор;elección;0;0;0;0;0;0;0;0
choir;chorale;coro;合唱団;coro;хор;coro;0;0;0;0;1;0;0;1
choke;étranglement;soffocare;チョーク;sufocar;удушение;ahogo;1;0;0;0;0;1;0;0
cholera;choléra;colera;コレラ;cólera;холера;cólera;0;0;1;1;0;1;0;0
choose;choisir;scegliere;選択する;escolher;выберите;escoger;0;0;0;0;0;0;0;0
choosing;choisir;la scelta;選択;escolhendo;выбор;Elegir;0;0;0;0;0;0;0;0
chop;hacher;tritare;チョップ;cortar;нарубить;picar;0;0;0;0;0;0;0;0
chopping;hacher;chopping;チョッピング;cortando;рубящий;el cortar;0;0;0;0;0;0;0;0
chops;côtelettes;braciole;チョップ;costeletas;челюсти;labios;0;0;0;0;0;0;0;0
choral;choral;corale;合唱;coral;хоровой;coral;0;0;0;0;1;0;0;0
chords;accords;accordi;コード;acordes;аккорды;acordes;0;0;0;0;0;0;0;0
chore;corvée;lavoretto;雑用;tarefa;случайная работа;faena;0;0;0;0;0;0;0;0
chorus;Refrain;coro;コーラス;coro;хор;coro;0;0;0;0;0;0;0;0
chosen;choisi;scelto;選ばれた;escolhido;выбранный;elegido;0;0;0;0;0;0;0;0
chowder;chaudrée;zuppa di pesce;チャウダー;sopa;густая похлебка;sopa de pescado;0;0;0;0;0;0;0;0
christening;baptême;battesimo;洗礼;batismo;крещение;bautizo;0;0;0;0;0;0;0;0
chromatic;chromatique;cromatico;有彩;cromática;хроматический;cromático;0;0;0;0;0;0;0;0
chromatography;Chromatographie;cromatografia;クロマトグラフィー;cromatografia;хроматография;cromatografía;0;0;0;0;0;0;0;0
chromosome;chromosome;cromosoma;染色体;cromossoma;хромосома;cromosoma;0;0;0;0;0;0;0;0
chronic;chronique;cronico;慢性の;crônica;хронический;crónico;0;0;0;0;0;1;0;0
chronicle;la chronique;cronaca;クロニクル;crônica;хроника;crónica;0;0;0;0;0;0;0;1
chronograph;chronographe;cronografo;クロノグラフ;cronógrafo;хронограф;cronógrafo;0;0;0;0;0;0;0;0
chronological;chronologique;cronologico;年代順;cronológico;хронологический;cronológico;0;0;0;0;0;0;0;0
chuck;mandrin;mandrino;チャック;mandril;зажимной патрон;arrojar;0;0;0;0;0;0;0;0
chuckle;glousser;ridacchiare;含み笑い;chuckle;посмеиваться;risita;0;1;0;0;1;0;1;1
chunk;tronçon;pezzo;チャンク;pedaço;ломоть;pedazo;0;0;0;0;0;0;0;0
chunky;trapu;grosso;塊状の;chunky;коренастый;fornido;0;0;0;0;0;0;0;0
church;église;Chiesa;教会;Igreja;церковь;Iglesia;0;1;0;0;1;0;0;1
churchyard;cimetière;cimitero;牧場;cemitério;погост;cementerio;0;0;0;0;0;0;0;0
churn;baratte;zangola;チャーン;churn;маслобойка;batir;0;0;0;0;0;0;0;0
chute;chute;scivolo;シュート;calha;скат;tolva;0;0;0;0;0;0;0;0
chutney;chutney;chutney;チャツネ;molho picante;чатни;chatney;0;0;0;0;0;0;0;0
ciao;ciao;Ciao;チャオ;tchau;Чао;ciao;0;0;0;0;0;0;0;0
cider;Cidre;Cedro;サイダー;cidra;сидр;sidra;0;0;0;0;0;0;0;0
cigar;cigare;sigaro;葉巻;charuto;сигара;cigarro;0;0;0;0;0;0;0;0
cigarette;cigarette;sigaretta;シガレット;cigarro;сигарета;cigarrillo;0;0;0;0;0;0;0;0
cinch;sangler;straccale;シンチ;cinch;подпруга;cincha;0;0;0;0;0;0;0;0
cinder;cendre;brace;シンデラ;cinza;окалина;ceniza;0;0;0;0;0;0;0;0
cinema;cinéma;cinema;シネマ;cinema;кино;cine;0;0;0;0;0;0;0;0
cinematographer;directeur de la photographie;direttore della fotografia;撮影監督;Cinematográfico;кинематографист;director de fotografía;0;0;0;0;0;0;0;0
cinematography;cinématographie;cinematografia;映画撮影;cinematografia;кинематография;cinematografía;0;0;0;0;0;0;0;0
cinnamon;cannelle;cannella;シナモン;canela;корица;canela;0;0;0;0;0;0;0;0
cipher;chiffrer;cifra;暗号;cifra;шифровать;cifrar;0;0;0;0;0;0;0;0
circle;cercle;cerchio;サークル;círculo;круг;circulo;0;0;0;0;0;0;0;0
circling;encercler;circuitazione;旋回する;circulando;кружить;dando vueltas;0;0;0;0;0;0;0;0
circuit;circuit;circuito;回路;o circuito;схема;circuito;0;0;0;0;0;0;0;0
circular;circulaire;circolare;円形;circular;круговой;circular;0;0;0;0;0;0;0;0
circulate;circuler;circolare;循環する;circular;циркулировать;circular;0;0;0;0;0;0;0;0
circulation;circulation;circolazione;サーキュレーション;circulação;циркуляция;circulación;0;0;0;0;0;0;0;0
circumcision;circoncision;circoncisione;割礼;circuncisão;обрезание;circuncisión;0;0;0;0;0;0;0;0
circumference;circonférence;circonferenza;周;circunferência;длина окружности;circunferencia;0;0;0;0;0;0;0;0
circumferential;circonférentiel;circonferenziale;円周;circunferencial;периферический;circunferencial;0;0;0;0;0;0;0;0
circumscribed;circonscrit;circoscritto;外接する;circunscrito;ограниченный;circunscrito;0;0;0;0;0;0;0;0
circumstance;circonstance;circostanza;状況;circunstância;обстоятельство;circunstancia;0;0;0;0;0;0;0;0
circumstantial;circonstancié;circostanziato;状況;circunstancial;обстоятельный;circunstancial;0;0;0;0;0;0;0;0
circumvention;contournement;circonvenzione;迂回;evasão;обход;burla;0;0;0;0;0;0;0;0
circus;cirque;circo;サーカス;circo;цирк;circo;0;0;0;0;0;0;0;0
cirrus;cirrus;cirro;巻いた;cirrose;усик;cirro;0;0;0;0;0;0;0;0
cistern;citerne;cisterna;水槽;cisterna;сливной бачок;cisterna;0;0;0;0;0;0;0;0
citadel;citadelle;cittadella;城砦;cidadela;цитадель;ciudadela;0;0;0;0;0;0;0;0
citation;citation;citazione;引用;citação;цитата;citación;0;0;0;0;0;0;0;0
citizen;citoyen;cittadino;市民;cidadão;гражданин;ciudadano;0;0;0;0;0;0;0;0
citrine;citrine;citrino;シトリン;citrino;цитрин;citrino;0;0;0;0;0;0;0;0
city;ville;città;シティ;cidade;город;ciudad;0;0;0;0;0;0;0;0
civic;civique;civico;シビック;cívico;гражданский;cívico;0;0;0;0;0;0;0;0
civil;civil;civile;市民;Civil;гражданского;civil;0;0;0;0;0;0;0;0
civilian;civil;civile;文民;civil;гражданский;civil;0;0;0;0;0;0;0;0
civility;civilité;civiltà;礼儀;civilidade;любезность;civilidad;0;0;0;0;0;0;0;0
civilization;civilisation;civiltà;文明;civilização;цивилизация;civilización;0;0;0;0;0;0;0;1
civilized;civilisé;civilizzato;文明化された;civilizado;цивилизованный;civilizado;0;0;0;0;1;0;0;1
clad;habillé;rivestito;クラッド;revestido;плакированный;revestido;0;0;0;0;0;0;0;0
claim;prétendre;Richiesta;請求;afirmação;Запрос;Reclamación;0;0;0;0;0;0;0;0
claimant;demandeur;pretendente;請求者;requerente;истец;demandante;1;0;1;0;0;0;0;0
clairvoyant;voyant;chiaroveggente;透視的;clarividente;ясновидящий;clarividente;0;0;0;0;0;0;0;0
clam;palourde;mollusco;クラム;molusco;моллюск;almeja;0;0;0;0;0;0;0;0
clamor;clameur;clamore;騒ぎ;clamor;ропот;clamor;1;1;1;0;0;0;1;0
clamp;serrer;morsetto;クランプ;grampo;зажим;abrazadera;0;0;0;0;0;0;0;0
clan;clan;clan;一族;clã;клан;clan;0;0;0;0;0;0;0;1
clandestine;clandestin;clandestino;秘密;clandestino;нелегальный;clandestino;0;0;0;0;0;0;0;0
clap;taper;applaudire;拍手する;aplaudir;хлопать в ладоши;aplaudir;0;1;0;0;1;0;0;1
clarify;clarifier;chiarire;明らかにする;esclarecer;прояснить;aclarar;0;0;0;0;0;0;0;0
clarinet;clarinette;clarinetto;クラリネット;clarinete;кларнет;clarinete;0;0;0;0;0;0;0;0
clarion;clairon;squillante;クラリオン;clarão;горн;clarín;0;0;0;0;0;0;0;0
clarity;clarté;chiarezza;透明度;clareza;ясность;claridad;0;0;0;0;0;0;0;0
clash;choc;scontro;衝突;choque;столкновение;choque;1;0;0;0;0;0;0;0
clashing;affrontement;scontrandosi;衝突;chocando;сталкивающихся;chocando;1;0;0;1;0;0;0;0
clasp;fermoir;fermaglio;留め金;fecho;застежка;corchete;0;0;0;0;0;0;0;0
class;classe;classe;クラス;classe;класс;clase;0;0;0;0;0;0;0;0
classic;classique;classico;クラシック;clássico;классический;clásico;0;0;0;0;0;0;0;0
classical;classique;classico;クラシック;clássico;классический;clásico;0;0;0;0;0;0;0;0
classics;classiques;classici;古典;clássicos;классика;clásicos;0;0;0;0;1;0;0;0
classification;classification;classificazione;分類;classificação;классификация;clasificación;0;0;0;0;0;0;0;0
classify;classer;classificare;分類する;classificar;классифицировать;clasificar;0;0;0;0;0;0;0;0
classmate;camarade de classe;compagna di classe;同級生;colega de classe;одноклассник;compañera de clases;0;0;0;0;0;0;0;0
clatter;bruit;rumore;乱れた;barulho;трескотня;estrépito;0;0;0;0;0;0;0;0
clause;clause;clausola;句;cláusula;пункт;cláusula;0;0;0;0;0;0;0;0
clauses;clauses;clausole;節;cláusulas;статьи;cláusulas;0;0;0;0;0;0;0;0
claw;griffe;artiglio;爪;garra;коготь;garra;1;0;0;1;0;0;0;0
claws;les griffes;artigli;爪;garras;когти;garras;0;0;0;0;0;0;0;0
clay;argile;argilla;粘土;argila;глина;arcilla;0;0;0;0;0;0;0;0
clean;nettoyer;pulito;クリーン;limpar \ limpo;чистый;limpiar;0;0;0;0;1;0;0;1
cleaning;nettoyage;pulizia;クリーニング;limpeza;уборка;limpieza;0;0;0;0;0;0;0;0
cleanliness;propreté;pulizia;清潔さ;limpeza;чистота;limpieza;0;0;0;0;0;0;0;0
cleanly;propre;pulito;きれいに;limpa;чисто;limpiamente;0;0;0;0;0;0;0;0
cleanse;purifier;purificare;浄化する;limpar;чистить;limpiar;0;0;0;0;0;0;0;0
cleansing;nettoyage;detergente;クレンジング;limpeza;очищающий;limpieza;0;0;0;0;0;0;0;0
clearance;dégagement;autorizzazione;クリアランス;liberação;зазор;despeje;0;0;0;0;0;0;0;1
clearing;clairière;radura;清算;limpeza;клиринг;claro;0;0;0;0;0;0;0;0
clearness;clarté;chiarezza;透明度;clareza;ясность;claridad;0;0;0;0;0;0;0;0
cleavage;clivage;sfaldamento;切断;decote;расщепление;escote;0;0;0;0;0;0;0;0
cleave;fendre;fendere;裂く;clave;раскалывать;adherirse;0;0;0;1;0;0;0;0
clef;clef;chiave;音部;clef;ключ;clave;0;0;0;0;0;0;0;0
cleft;fendu;fessura;裂け目;fenda;расщелина;hendido;0;0;0;0;0;0;0;0
clemency;clémence;clemenza;快感;clemência;помилование;clemencia;0;0;0;0;0;0;0;0
clergy;le clergé;clero;聖職者;clero;духовенство;clero;0;0;0;0;0;0;0;0
clergyman;pasteur;ecclesiastico;牧師;clérigo;священник;clérigo;0;0;0;0;0;0;0;0
clerical;clérical;clericale;事務的;clerical;конторский;clerical;0;0;0;0;0;0;0;1
clerk;employé de bureau;impiegato;店員;escriturário;клерк;empleado;0;0;0;0;0;0;0;0
clerkship;externat;tirocinio;書記官;Clerkship;должность секретаря;escribanía;0;0;0;0;0;0;0;0
clever;intelligent;intelligente;賢い;esperto;умная;inteligente;0;0;0;0;0;0;0;0
cleverness;habileté;intelligenza;賢い;inteligência;одаренность;astucia;0;0;0;0;0;0;0;0
click;Cliquez sur;clic;クリック;clique;щелчок;hacer clic;0;0;0;0;0;0;0;0
client;client;cliente;クライアント;cliente;клиент;cliente;0;0;0;0;0;0;0;0
clientele;clientèle;clientela;顧客;clientela;клиентура;clientela;0;0;0;0;0;0;0;0
cliff;falaise;scogliera;崖;penhasco;утес;acantilado;0;0;0;1;0;0;0;0
climate;climat;clima;気候;clima;климат;clima;0;0;0;0;0;0;0;0
climatology;climatologie;climatologia;気候学;climatologia;климатология;climatología;0;0;0;0;0;0;0;0
climax;Climax;climax;クライマックス;clímax;кульминация;clímax;0;1;0;0;1;0;1;1
climb;montée;scalata;登る;escalar;восхождение;escalada;0;0;0;0;0;0;0;0
cling;se cramponner;aggrapparsi;しがみつく;aderir;цепляться;adherirse;0;0;0;0;0;0;0;0
clip;agrafe;clip;クリップ;grampo;клип;acortar;0;0;0;0;0;0;0;0
clipper;tondeuse;clipper;クリッパー;cortador;клипер;clíper;0;0;0;0;0;0;0;0
clipping;coupure;ritaglio;クリッピング;recorte;вырезка;recorte;0;0;0;0;0;0;0;0
clique;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;0;0;0;0;0;0;0;0
cloak;manteau;mantello;隠す;capa;плащ;capa;0;0;0;0;0;0;0;0
clock;l'horloge;orologio;クロック;relógio;Часы;reloj;0;1;0;0;0;0;0;0
clockwork;mouvement d'horlogerie;orologeria;時計工事;relógio;заводной;aparato de relojería;0;0;0;0;0;0;0;0
clog;sabot;zoccolo;詰まる;entupir;загромождать;obstruir;0;0;0;0;0;0;0;0
cloister;cloître;chiostro;回廊;claustro;монастырь;claustro;0;0;0;0;0;0;0;0
close;Fermer;vicino;閉じる;fechar;Закрыть;cerca;0;0;0;0;0;0;0;0
closed;fermé;chiuso;閉まっている;fechadas;закрыто;cerrado;0;0;0;0;0;0;0;0
closeness;proximité;vicinanza;親密さ;proximidade;близость;cercanía;0;0;0;0;1;0;0;1
closet;placard;guardaroba;クローゼット;armário de roupa;стенной шкаф;armario;0;0;0;0;0;0;0;0
closure;fermeture;chiusura;閉鎖;fecho;закрытие;cierre;0;1;0;0;1;1;0;0
clot;caillot;coagularsi;血餅;coágulo;сгусток;coágulo;0;0;0;0;0;0;0;0
cloth;tissu;stoffa;布;pano;ткань;paño;0;0;0;0;0;0;0;0
clothe;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;0;0;0;0;0;0;0;0
clothes;vêtements;Abiti;服;roupas;одежда;ropa;0;0;0;0;0;0;0;0
clothesline;corde à linge;clothesline;洗濯物;varal de roupas;бельевой;tendedero;0;0;0;0;0;0;0;0
clothing;Vêtements;capi di abbigliamento;衣類;roupas;одежда;ropa;0;0;0;0;0;0;0;0
cloud;nuage;nube;雲;nuvem;облако;nube;0;0;0;0;0;0;0;0
clouded;assombri;offuscato;曇った;nublado;дымчатый;nublado;0;0;0;0;0;1;0;0
cloudiness;trouble;nuvolosità;曇り;nebulosidade;облачность;abundancia de nubes;0;0;0;1;0;0;0;0
cloudy;nuageux;nuvoloso;曇った;nublado;облачный;nublado;0;0;0;0;0;1;0;0
clover;trèfle;trifoglio;クローバー;trevo;клевер;trébol;0;0;0;0;0;0;0;0
cloves;clous de girofle;Chiodi di garofano;クローブ;cravo;гвоздика;clavos de olor;0;0;0;0;0;0;0;0
clown;pitre;clown;ピエロ;palhaço;клоун;payaso;0;1;0;0;1;0;1;0
club;club;club;クラブ;clube;клуб;club;0;0;0;0;0;0;0;0
clubhouse;clubhouse;clubhouse;クラブハウス;clube;здание клуба;casa club;0;0;0;0;0;0;0;0
clubs;les clubs;club;クラブ;clubes;клубы;clubs;0;0;0;0;0;0;0;0
clue;indice;traccia;手がかり;pista;ключ к разгадке;pista;0;1;0;0;0;0;0;0
clump;touffe;gruppo;塊;aglomerado;глыба;grupo;0;0;0;0;0;0;0;0
clumsy;maladroit;maldestro;不器用な;desajeitado;топорный;torpe;0;0;1;0;0;0;0;0
cluster;grappe;grappolo;クラスタ;grupo;кластер;racimo;0;0;0;0;0;0;0;0
clutch;Embrayage;frizione;クラッチ;embreagem;сцепление;embrague;0;0;0;0;0;0;0;0
clutches;embrayages;frizioni;クラッチ;garras;клатчи;embragues;0;0;0;0;0;0;0;0
clutter;désordre;ingombrare;混乱;desordem;беспорядок;desorden;0;0;0;0;0;0;0;0
coach;entraîneur;allenatore;コーチ;treinador;тренер;entrenador;0;0;0;0;0;0;0;1
coagulation;coagulation;coagulazione;凝固;coagulação;коагуляция;coagulación;0;0;0;0;0;0;0;0
coal;charbon;carbone;石炭;carvão;каменный уголь;carbón;0;0;0;0;0;0;0;0
coalesce;se fondre;fondersi;合体する;coalescer;сливаться;juntarse;0;0;0;0;0;0;0;1
coalition;coalition;coalizione;連合;aliança;коалиция;coalición;0;0;0;0;0;0;0;0
coast;côte;costa;海岸;costa;берег;costa;0;0;0;0;0;0;0;0
coastal;côtier;costiero;沿岸の;costeiro;береговой;costero;0;0;0;0;0;0;0;0
coaster;Coaster;sottobicchiere;コースター;montanha-russa;каботажное судно;barco de cabotaje;0;0;0;0;0;0;0;0
coat;manteau;cappotto;コート;casaco;Пальто;capa;0;0;0;0;0;0;0;0
coating;enrobage;Rivestimento;コーティング;Revestimento;покрытие;revestimiento;0;0;0;0;0;0;0;0
coax;amadouer;blandire;同軸;coaxial;уговаривать;engatusar;0;0;0;0;0;0;0;1
cobalt;cobalt;cobalto;コバルト;cobalto;кобальт;cobalto;0;0;0;0;0;0;0;0
cobble;bricoler;ciottolo;小石;godo;булыжник;adoquín;0;0;0;0;0;0;0;0
cobbler;cordonnier;ciabattino;コブラー;sapateiro;сапожник;zapatero;0;0;0;0;0;0;0;0
cobra;cobra;cobra;コブラ;cobra;кобра;cobra;0;0;0;1;0;0;0;0
cocaine;cocaïne;cocaina;コカイン;cocaína;кокаин;cocaína;0;0;0;0;0;1;0;0
cock;coq;cazzo;コック;galo;петух;polla;0;0;0;0;0;0;0;0
cockpit;cockpit;cabina di pilotaggio;コックピット;cabina do piloto;кокпит;cabina;0;0;0;0;0;0;0;0
cocktail;cocktail;cocktail;カクテル;coquetel;коктейль;cóctel;0;0;0;0;0;0;0;0
cocoa;cacao;cacao;ココア;cacau;какао;cacao;0;0;0;0;0;0;0;0
cocoon;cocon;bozzolo;繭;casulo;кокон;capullo;0;0;0;0;0;0;0;0
cod;la morue;merluzzo;タラ;bacalhau;треска;bacalao;0;0;0;0;0;0;0;0
code;code;codice;コード;código;код;código;0;0;0;0;0;0;0;0
codex;manuscrit;codice;コーデックス;códice;кодекс;códice;0;0;0;0;0;0;0;0
codification;codification;codificazione;体系化;codificação;кодификация;codificación;0;0;0;0;0;0;0;0
codify;codifier;codificare;成文化する;codificar;кодифицировать;codificar;0;0;0;0;0;0;0;0
coefficient;coefficient;coefficiente;係数;coeficiente;коэффициент;coeficiente;0;0;0;0;0;0;0;0
coerce;contraindre;costringere;強姦;coagir;принуждать;obligar;1;0;1;1;0;0;0;0
coercion;coercition;coercizione;強要;coerção;принуждение;coerción;1;0;1;1;0;1;0;0
coercive;coercitif;coercitivo;強制的;coercivo;коэрцитивный;coactivo;0;0;0;0;0;0;0;0
coexist;coexister;coesistere;共存する;coexiste;сосуществовать;coexistir;0;0;0;0;0;0;0;1
coexistence;coexistence;coesistenza;共存;coexistência;сосуществование;coexistencia;0;0;0;0;0;0;0;0
coexisting;coexister;coesistenti;共存する;convivendo;сосуществующих;coexistiendo;0;0;0;0;0;0;0;1
coffee;café;caffè;コーヒー;café;кофе;café;0;0;0;0;0;0;0;0
coffin;cercueil;bara;棺;caixão;гроб;ataúd;0;0;0;1;0;1;0;0
cog;dent;ingranaggio;コグ;cog;зубец;diente;0;0;0;0;0;0;0;0
cogent;convaincant;convincente;志願者;convincente;убедительный;convincente;0;0;0;0;0;0;0;1
cognate;apparenté;affine;同種の;cognato;родственный;cognado;0;0;0;0;0;0;0;0
cognition;cognition;cognizione;認知;conhecimento;познание;cognición;0;0;0;0;0;0;0;0
cognitive;cognitif;conoscitivo;認知;cognitivo;познавательный;cognitivo;0;0;0;0;0;0;0;0
cohabitation;cohabitation;convivenza;同棲;coabitação;Сожительство;cohabitación;0;0;0;0;0;0;0;0
coherence;la cohérence;coerenza;コヒーレンス;coerência;согласованность;coherencia;0;0;0;0;0;0;0;0
coherent;cohérent;coerente;コヒーレントな;coerente;последовательный;coherente;0;0;0;0;0;0;0;0
cohesion;cohésion;coesione;凝集;coesão;сплоченность;cohesión;0;0;0;0;0;0;0;1
cohesive;cohésif;coesivo;粘着性の;coeso;сплоченной;cohesivo;0;0;0;0;0;0;0;1
cohort;cohorte;coorte;コホート;coorte;когорта;cohorte;0;0;0;0;0;0;0;0
coil;bobine;bobina;コイル;bobina;катушка;bobina;0;0;0;0;0;0;0;0
coiled;enroulé;arrotolato;巻かれた;enrolado;обмотанный;enroscado;0;0;0;0;0;0;0;0
coin;pièce de monnaie;moneta;コイン;moeda;монета;acuñar;0;0;0;0;0;0;0;0
coinage;monnaie;conio;貨幣;cunhagem;чеканка монет;moneda;0;0;0;0;0;0;0;0
coincide;coïncider;coincidere;一致する;coincidir;совпасть;coincidir;0;0;0;0;0;0;0;0
coincidence;coïncidence;coincidenza;一致;coincidência;совпадение;coincidencia;0;0;0;0;0;0;1;0
coincident;coïncident;coincidente;一致する;coincidente;совпадающий;coincidente;0;0;0;0;0;0;0;0
coinciding;coïncider;coincidente;一致する;coincidindo;совпадающий;coincidiendo;0;0;0;0;0;0;0;0
coke;du Coca;Coca Cola;コークス;Coca;кокс;Coca;0;0;0;0;0;0;0;0
cold;du froid;freddo;コールド;frio;холодно;frío;0;0;0;0;0;0;0;0
coldly;froidement;freddamente;冷たく;friamente;холодно;fríamente;0;0;0;0;0;0;0;0
coldness;froideur;freddezza;寒さ;frieza;холодность;frialdad;1;0;1;1;0;1;0;0
